Diameter,Theca_mass
0.918053091,2.616313979
1.922137932,3.352068718
2.914789982,5.493892963
4.381045386,10.57505832
5.615786778,29.80615763
6.976860508,55.28349379
7.867189082,82.09441562
8.975883957,110.5088267
9.92880706,134.7706882
11.95526921,149.1869316
13.86054377,224.6337199
16.84964689,245.9836083
