t,error_bar_height
16.65671642,4.73015873
17.57142857,7.238095238
18.51385928,8.507936508
19.42857143,9.492063492
20.37100213,11.68253968
21.28571429,12.66666667
22.20042644,14.06349206
23.17057569,15.74603175
24.0575693,17.42857143
24.97228145,18.41269841
25.91471215,19.84126984
26.82942431,19.61904762
