t,diameter
14.01412686,4.572350827
15.01858392,6.032322142
15.99445104,7.269820021
16.99590074,7.935001002
17.99927515,9.108847797
19.00373221,10.56881911
20.00806897,11.99699881
20.9838158,13.20270508
22.01565984,14.56723369
23.02083867,16.21795469
24.02625808,17.93225891
25.03059484,19.36043861
26.03096189,19.73949507
27.030126,19.8006354
