t,diameter
16.65671642,4.73015873
17.59914712,6.984126984
18.51385928,8.19047619
19.42857143,8.984126984
20.34328358,11.17460317
21.31343284,12.0952381
22.22814499,13.49206349
23.11513859,15.14285714
24.0575693,16.79365079
25,17.77777778
25.91471215,19.20634921
26.85714286,18.6984127
